code,name,date,open,close,volume,ma5,ma25,ma75,rsi14,volume_avg20,volume_ratio,per,pbr,judgement,reason
7203,TOYOTA MOTOR CORP,2026-09-24,3002.00,2971.50,12578200,3013.50,3060.56,2940.55,43.2,23746720,0.53,8.45,0.94,様子見,"買い条件: ゴールデンクロスなし(5日線3013.50 / 25日線3060.56), 出来高比率 0.53倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3013.50 / 25日線3060.56), RSI 43.2 が 70 未満"
6758,SONY GROUP CORPORATION,2026-09-24,3657.00,3688.00,5476300,3716.60,3791.64,3569.08,46.2,13782790,0.40,19.79,2.59,様子見,"買い条件: ゴールデンクロスなし(5日線3716.60 / 25日線3791.64), 出来高比率 0.40倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3716.60 / 25日線3791.64), RSI 46.2 が 70 未満"
9984,SOFTBANK GROUP CORP,2026-09-24,6588.00,6625.00,25597900,6329.80,5747.32,5974.05,60.9,59179200,0.43,7.59,2.07,様子見,"買い条件: ゴールデンクロスなし(5日線6329.80 / 25日線5747.32), RSI 60.9 が 30〜60 の範囲外, 出来高比率 0.43倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線6329.80 / 25日線5747.32), RSI 60.9 が 70 未満"
8306,MITSUBISHI UFJ FINANCIAL GROUP ,2026-09-24,3601.00,3565.00,15850900,3632.00,3630.00,3502.29,44.2,38008545,0.42,15.08,1.77,様子見,"買い条件: ゴールデンクロスなし(5日線3632.00 / 25日線3630.00), 出来高比率 0.42倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3632.00 / 25日線3630.00), RSI 44.2 が 70 未満"
6501,HITACHI,2026-09-24,5582.00,5524.00,5039300,5423.20,5345.48,5079.25,59.4,9301320,0.54,31.25,3.77,様子見,"買い条件: ゴールデンクロスなし(5日線5423.20 / 25日線5345.48), 出来高比率 0.54倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線5423.20 / 25日線5345.48), RSI 59.4 が 70 未満"
4063,SHIN-ETSU CHEMICAL CO,2026-09-24,5795.00,5912.00,2940800,5806.20,5903.48,6530.19,48.0,6090790,0.48,23.42,2.41,様子見,"買い条件: ゴールデンクロスなし(5日線5806.20 / 25日線5903.48), 出来高比率 0.48倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線5806.20 / 25日線5903.48), RSI 48.0 が 70 未満"
