code,name,date,open,close,volume,ma5,ma25,ma75,rsi14,volume_avg20,volume_ratio,per,pbr,judgement,reason
7203,TOYOTA MOTOR CORP,2026-09-18,3043.00,3026.00,4311700,3024.40,3062.26,2938.79,48.8,22714535,0.19,8.61,0.96,様子見,"買い条件: ゴールデンクロスなし(5日線3024.40 / 25日線3062.26), 出来高比率 0.19倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3024.40 / 25日線3062.26), RSI 48.8 が 70 未満"
6758,SONY GROUP CORPORATION,2026-09-18,3733.00,3689.00,2043300,3735.00,3795.00,3567.00,46.3,13478125,0.15,19.77,2.59,様子見,"買い条件: ゴールデンクロスなし(5日線3735.00 / 25日線3795.00), 出来高比率 0.15倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3735.00 / 25日線3795.00), RSI 46.3 が 70 未満"
9984,SOFTBANK GROUP CORP,2026-09-18,6400.00,6476.00,20603000,6204.80,5724.20,5986.23,58.9,56105905,0.37,7.41,2.02,様子見,"買い条件: ゴールデンクロスなし(5日線6204.80 / 25日線5724.20), 出来高比率 0.37倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線6204.80 / 25日線5724.20), RSI 58.9 が 70 未満"
8306,MITSUBISHI UFJ FINANCIAL GROUP ,2026-09-18,3649.00,3623.00,9380700,3663.60,3633.48,3497.05,48.9,36823675,0.25,15.31,1.80,様子見,"買い条件: ゴールデンクロスなし(5日線3663.60 / 25日線3633.48), 出来高比率 0.25倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3663.60 / 25日線3633.48), RSI 48.9 が 70 未満"
6501,HITACHI,2026-09-18,5497.00,5459.00,1999900,5370.40,5344.76,5073.84,56.7,9037970,0.22,30.86,3.72,様子見,"買い条件: 出来高比率 0.22倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線5370.40 / 25日線5344.76), RSI 56.7 が 70 未満"
4063,SHIN-ETSU CHEMICAL CO,2026-09-18,5845.00,5806.00,996600,5766.20,5920.88,6552.73,41.7,5902155,0.17,23.00,2.37,様子見,"買い条件: ゴールデンクロスなし(5日線5766.20 / 25日線5920.88), 出来高比率 0.17倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線5766.20 / 25日線5920.88), RSI 41.7 が 70 未満"
