code,name,date,open,close,volume,ma5,ma25,ma75,rsi14,volume_avg20,volume_ratio,per,pbr,judgement,reason
7203,TOYOTA MOTOR CORP,2026-09-25,2990.00,2989.00,5564200,3006.60,3059.14,2942.37,45.5,24473390,0.23,8.51,0.95,様子見,"買い条件: ゴールデンクロスなし(5日線3006.60 / 25日線3059.14), 出来高比率 0.23倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3006.60 / 25日線3059.14), RSI 45.5 が 70 未満"
6758,SONY GROUP CORPORATION,2026-09-25,3697.00,3714.00,3313900,3709.40,3790.48,3570.81,48.4,14077560,0.24,19.92,2.61,様子見,"買い条件: ゴールデンクロスなし(5日線3709.40 / 25日線3790.48), 出来高比率 0.24倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3709.40 / 25日線3790.48), RSI 48.4 が 70 未満"
9984,SOFTBANK GROUP CORP,2026-09-25,6180.00,6069.00,20675300,6233.20,5745.96,5952.32,52.3,61713590,0.34,6.95,1.90,様子見,"買い条件: ゴールデンクロスなし(5日線6233.20 / 25日線5745.96), 出来高比率 0.34倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線6233.20 / 25日線5745.96), RSI 52.3 が 70 未満"
8306,MITSUBISHI UFJ FINANCIAL GROUP ,2026-09-25,3610.00,3666.00,15148200,3633.20,3630.80,3508.36,52.8,38922810,0.39,15.50,1.82,様子見,"買い条件: ゴールデンクロスなし(5日線3633.20 / 25日線3630.80), 出来高比率 0.39倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線3633.20 / 25日線3630.80), RSI 52.8 が 70 未満"
6501,HITACHI,2026-09-25,5512.00,5528.00,2426600,5479.20,5344.96,5081.93,59.1,9539305,0.25,31.43,3.77,様子見,"買い条件: ゴールデンクロスなし(5日線5479.20 / 25日線5344.96), 出来高比率 0.25倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線5479.20 / 25日線5344.96), RSI 59.1 が 70 未満"
4063,SHIN-ETSU CHEMICAL CO,2026-09-25,5852.00,5876.00,1405800,5841.00,5888.48,6510.41,46.1,6298610,0.22,23.26,2.40,様子見,"買い条件: ゴールデンクロスなし(5日線5841.00 / 25日線5888.48), 出来高比率 0.22倍 が 1.5倍未満 ／ 売り条件: デッドクロスなし(5日線5841.00 / 25日線5888.48), RSI 46.1 が 70 未満"
